Temperature_K_,Field_T_,FieldAngle_deg_,CriticalCurrent_A_,CriticalCurrentPerCmWidth_A_cm_,n_value
19.99,3,205,216.76,541.91,23.44
19.98,3,200,218.73,546.83,23.64
20,3,195,222.31,555.79,24.9
19.99,3,190,226.02,565.04,25.18
20,3,185,229.31,573.28,25.3
20,3,180,229.86,574.65,24.55
20,3,175,228.18,570.45,24.22
20,3,170,224.64,561.61,24.04
20,3,165,219.93,549.82,23.05
20,3,160,216.18,540.46,22.39
20,3,155,213.93,534.82,22.51
20,3,150,212.22,530.54,21.53
20,3,145,212.71,531.77,21.07
20,3,140,215.04,537.61,20.54
20,3,135,219.88,549.71,20.2
20.01,3,130,227.41,568.52,19.87
20,3,125,238.97,597.43,19.83
20,3,120,255.15,637.87,19.2
20,3,115,279.73,699.33,18.9
19.99,3,110,317.12,792.81,18.84
20,3,105,380.19,950.48,18.96
20,3,102,445.65,1114.14,19.45
19.99,2.999,99,555.09,1387.72,22.1
20,3,96,739.61,1849.02,29.18
19.99,3,94,867.62,2169.04,33.97
19.99,3,92,901.13,2252.82,32.61
20,3,90,796.22,1990.56,26.12
19.99,3,88,648.84,1622.1,21.93
19.99,3,86,536.37,1340.91,19.21
20,3,84,464.51,1161.28,18.58
20,3,81,394.76,986.89,18.11
20,3,78,349.46,873.65,17.95
20,3,75,318.64,796.59,18.26
19.99,3,70,282.89,707.24,18.37
19.99,3,65,259.06,647.66,18.55
19.98,3,60,243.1,607.74,19.16
20,3,55,231.05,577.62,19.42
20,3,50,222.55,556.37,19.68
20,3,45,216.44,541.09,19.88
20,3,40,212.17,530.42,19.67
19.99,3,35,210.92,527.31,20.41
19.98,3,30,211.47,528.67,21.32
20,3,25,212.52,531.3,21.41
19.99,3,20,215.89,539.74,22.71
19.99,3,15,219.56,548.9,23.02
19.99,3,10,224.41,561.02,23.98
19.99,3,5,228.22,570.55,24.52
20,2,240,328.39,820.97,20.46
20,2,235,310.73,776.81,20.62
20,2,230,297.8,744.5,20.84
20.01,2,225,288.96,722.4,21.59
20,2,220,282.12,705.31,21.57
19.99,2,215,278.36,695.9,22.25
20,2,210,275.76,689.39,22.2
20,2,205,275.51,688.77,22.73
20,2,200,276.93,692.32,23.48
20,2,195,280.1,700.24,24.86
20,2,190,282.82,707.06,24.92
20,2,185,284.76,711.9,24.45
19.99,2,180,285.67,714.18,24.42
20,2,175,284.95,712.37,24.72
20,2,170,282.09,705.24,24.17
20,2,165,278.32,695.81,23.45
20,1.999,160,275.12,687.81,22.66
20,2,155,273.24,683.11,21.84
20.01,2,150,273.74,684.34,21.64
20.01,2,145,275.82,689.56,21.48
20,2,140,280.22,700.54,21.01
20,2,135,287.44,718.61,20.53
20,2,130,299.17,747.93,20.67
19.99,2,125,314.31,785.77,19.91
20,2,120,336.93,842.33,19.75
19.99,2,115,370.63,926.58,20.18
20,2,110,419.34,1048.36,20.07
20,2,105,500.18,1250.45,20.91
20.01,2,102,579.8,1449.51,22.42
20,2,99,695.75,1739.37,25.05
20,2,96,840.99,2102.47,30.24
19.99,2,94,917.74,2294.36,33.4
19.99,2,92,940.85,2352.13,34.07
19.99,2,90,892.99,2232.48,30.42
20,2,88,797.05,1992.62,26.05
19.99,2,86,695.07,1737.67,23.24
19.99,2,84,610.07,1525.18,21.15
19.99,2,81,520.85,1302.13,20.05
20,2,78,463.23,1158.07,19.82
20,2,75,421.33,1053.32,19.44
20,2,70,374.12,935.3,19.52
20,2,65,341.65,854.14,19.55
20,2,60,318.87,797.18,19.7
20,2,55,302.49,756.23,19.94
20,2,50,290.73,726.84,20.44
20,2,45,282.17,705.41,20.79
20,2,40,275.94,689.84,20.8
20,2,35,271.76,679.41,20.79
19.99,2,30,270.34,675.86,20.96
19.99,2,25,272.01,680.03,22.46
20,2,20,273.78,684.45,22.75
20,2,15,277.45,693.62,23.78
19.99,2,10,281.27,703.16,24.46
19.99,2,5,283.39,708.48,23.95
20,1.5,240,398.52,996.29,21.7
20,1.5,235,376.6,941.49,22.21
20,1.5,230,359.96,899.9,22.18
20,1.5,225,347.94,869.84,22.46
20,1.5,220,338.7,846.76,22.37
20,1.5,215,332.97,832.44,22.9
20,1.5,210,328.99,822.47,22.83
20,1.5,205,328.1,820.24,24
20,1.5,200,329.08,822.7,25.04
19.99,1.499,195,330.31,825.79,25.18
20,1.5,190,331.53,828.82,24.99
20,1.5,185,332.5,831.26,24.35
20,1.5,180,333.69,834.22,24.58
20,1.5,175,333.56,833.9,24.63
20,1.5,170,332.12,830.3,24.69
20,1.5,165,329.45,823.63,23.86
20,1.5,160,327.92,819.8,23.61
20,1.5,155,327.71,819.26,23.31
20,1.5,150,328.29,820.72,22.34
20,1.5,145,331.95,829.88,22.09
20,1.5,140,337.69,844.22,21.35
